Depth,AC,CAL,CNL,DEN,GR,MINV,MNOR,R045,R4,RILD,RILM,RLL8,RLLD,RLLS,RPRX,SP,result
1324.3125,95.5775,8.581,25.7344,2.2123,71.8879,4.596,5.733,7.4184,2.7398,6.8301,6.4361,6.6336,6.2289,5.6484,15.4647,68.185,水层
1324.34375,95.5373,8.4704,25.8304,2.2111,70.3528,4.6333,5.6681,7.714,2.8145,6.944,6.5675,6.6581,6.2174,5.7642,15.7228,67.5571,水层
1324.375,95.477,8.3496,25.9384,2.2105,68.7375,4.6325,5.6033,8.0098,2.8762,7.0336,6.6767,6.8202,6.3449,5.8824,15.8085,67.07,水层
1324.40625,95.3967,8.2289,26.0464,2.2093,67.3645,4.5932,5.5516,8.2286,2.9512,7.0979,6.7383,6.999,6.487,6.1262,15.8073,66.6079,水层
1324.4375,95.3565,8.1384,26.1184,2.2079,65.8284,4.503,5.4996,8.4602,2.988,7.1497,6.825,7.1297,6.62,6.2982,15.8055,66.3635,水层
1324.46875,95.3163,8.1085,26.2024,2.2067,64.6157,4.3613,5.4218,8.692,3.0625,7.2148,6.8621,7.3574,6.7808,6.5592,15.9212,66.1573,水层
1324.5,95.2961,8.1494,26.2864,2.2057,63.2399,4.2584,5.3698,8.9236,3.099,7.2406,6.9249,7.4947,7.0099,6.7433,16.0978,65.9639,水层
1324.53125,95.2759,8.1952,26.3584,2.2043,62.3478,4.1422,5.3051,9.1937,3.1228,7.3067,6.9622,7.7056,7.2734,6.9454,16.5491,65.7957,水层
1324.5625,95.2757,8.2409,26.4544,2.2031,61.2935,4.0648,5.266,9.4768,3.1211,7.3326,6.9999,7.9517,7.3409,7.1272,17.2348,65.7301,水层
1324.59375,95.2755,8.2968,26.5384,2.2018,60.721,4.0129,5.2265,9.6827,3.0427,7.3311,7.0247,8.0702,7.5053,7.3138,17.5552,66.0601,水层
1324.625,95.3755,8.3477,26.5864,2.2006,60.2287,3.948,5.1875,9.9015,2.9639,7.33,7.0496,8.2972,7.6451,7.4914,18.1808,66.5308,水层
1324.65625,95.6957,8.4035,26.6224,2.1984,59.7364,3.9344,5.1484,9.9923,2.9239,7.2743,7.0615,8.5306,7.8307,7.6733,18.6566,67.1804,水层
1324.6875,95.9559,8.4544,26.7184,2.1974,59.1629,3.8948,5.1472,10.019,2.8711,7.2058,7.0732,8.722,7.9618,7.8162,19.0735,68.1748,水层
1324.71875,96.3162,8.4851,26.7663,2.196,58.911,3.8559,5.1462,10.0199,2.8691,7.098,7.0719,8.852,8.1251,7.9913,19.5717,68.8114,水层
1324.75,96.5764,8.5258,26.7903,2.1942,58.6591,3.8552,5.1453,10.0336,2.8927,7.0445,6.9922,8.984,8.3071,8.2004,20.0836,69.3968,水层
1324.78125,96.8966,8.5565,26.8142,2.1942,58.6477,3.8286,5.1447,10.073,2.9419,6.9008,6.888,9.1517,8.4931,8.3686,20.5321,69.8421,水层
1324.8125,97.1969,8.5923,26.8262,2.1948,59.6781,3.8278,5.1437,10.1252,2.9912,6.6975,6.6974,9.2538,8.6194,8.5245,20.9137,70.2492,水层
1324.84375,97.5171,8.6178,26.8261,2.196,60.8678,3.8265,5.1808,10.1389,3.0148,6.4882,6.5365,9.357,8.8614,8.7476,21.5395,70.8345,水层
1324.875,97.7773,8.6637,26.8261,2.197,62.1396,3.8258,5.206,10.1398,3.0385,6.2736,6.3204,9.4091,9.0098,8.9435,21.9396,71.2288,水层
1324.90625,98.0575,8.7195,26.814,2.1988,63.4104,3.8246,5.2559,9.987,3.0241,6.1001,6.1001,9.514,9.1946,9.0933,22.1007,71.8395,水层
1324.9375,98.3576,8.7653,26.7899,2.2008,64.998,3.8242,5.2933,9.8085,2.8432,5.9979,5.9315,9.5316,9.3141,9.2456,22.0983,72.2468,水层
1324.96875,98.5978,8.8162,26.7779,2.202,65.8719,3.823,5.356,9.5276,2.6627,5.9636,5.7888,9.5493,9.4701,9.3485,22.1371,72.896,水层
1325.0,98.7579,8.8872,26.7297,2.2004,67.221,3.8224,5.3684,9.2976,2.5459,5.9514,5.692,9.5492,9.6287,9.5051,22.2994,73.4053,水层
1325.03125,98.978,8.928,26.6817,2.1988,68.2533,3.8469,5.4309,8.9654,2.4928,5.9501,5.5965,9.5492,9.7,9.5402,22.4213,73.595,水层
1325.0625,99.2782,8.994,26.5975,2.1958,69.2026,3.8459,5.4429,8.6459,2.4784,5.9714,5.5749,9.4964,9.7538,9.5401,22.6275,73.7461,水层
1325.09375,99.5384,9.0247,26.4774,2.195,70.0736,3.8453,5.4424,8.3008,2.4633,6.0259,5.8171,9.4264,9.7538,9.5754,22.793,73.7827,水层
1325.125,99.7785,9.0704,26.4053,2.1934,71.1021,3.8443,5.4926,7.8788,2.4746,6.0811,6.1038,9.3569,9.593,9.4524,22.9184,73.7042,水层
1325.15625,99.9786,9.0961,26.3091,2.1926,71.8139,3.8433,5.5168,7.4694,2.6133,6.1822,6.369,9.2536,9.3828,9.2453,22.9579,73.3062,水层
1325.1875,100.1787,9.1217,26.201,2.1918,72.6029,3.8041,5.5287,6.8549,2.8541,6.2506,6.6333,9.1514,9.0094,8.9431,22.6186,72.8063,水层
1325.21875,100.4189,9.1271,26.1048,2.191,73.3938,3.7776,5.5409,6.1639,3.1713,6.3897,6.8576,9.017,8.6348,8.7149,22.1613,72.1783,水层
1325.25,100.699,9.1073,25.9727,2.1908,74.0225,3.7513,5.5397,5.7929,3.4376,6.4487,7.1554,8.9175,8.368,8.3526,21.5927,71.5507,水层
1325.28125,100.859,9.0572,25.8645,2.1908,73.9309,3.7377,5.539,5.5889,3.6532,6.532,7.3701,8.7703,8.0647,8.035,20.6526,71.1017,水层
1325.3125,101.0191,9.0071,25.7083,2.1908,73.3584,3.6857,5.5381,5.9231,4.0086,6.6163,7.6335,8.5777,7.8155,7.7437,20.0487,70.3462,水层
1325.34375,101.079,8.952,25.6482,2.192,72.1448,3.6847,5.5374,6.5136,4.2368,6.7514,7.8623,8.4361,7.588,7.3944,19.1053,69.3353,水层
