Depth,AC,CAL,CALI,GR,HAC,LLD,LLS,MINV,MNOR,MSFL,NPHI,PD,RHOB,RILD,RILM,RSFL,SP,result
820.90625,311.2003,8.5741,8.5741,97.8525,322.2085,5.4375,4.1886,2.5045,2.6043,3.6968,0.3058,228.7315,2.3497,2.009,2.0501,4.0738,67.7231,水层
820.9375,306.2793,8.6368,8.6368,97.406,320.5682,5.437,4.2187,2.684,2.744,3.6964,0.3034,225.3989,2.3493,1.8392,1.9365,4.1573,67.9715,水层
820.96875,303.2507,8.6494,8.6494,97.0873,317.6668,5.4166,4.2187,2.7438,2.8836,3.6961,0.2994,222.1673,2.3495,1.69,1.8091,4.2036,68.2202,水层
821.0,299.4653,8.6703,8.6703,96.7686,315.0175,5.3763,4.2339,2.8635,2.9834,3.7298,0.2968,220.198,2.3495,1.5416,1.6902,4.3295,68.5509,水层
821.03125,298.3304,8.6829,8.6829,96.2585,313.1255,5.3659,4.2569,3.1829,3.123,3.8057,0.2945,218.6831,2.3497,1.4481,1.5588,4.3295,68.6734,水层
821.0625,294.2932,8.6996,8.6996,96.2585,308.9622,5.3557,4.2724,3.1428,3.023,3.8759,0.2937,217.572,2.3511,1.3529,1.4943,4.3858,69.0041,水层
821.09375,292.9058,8.7122,8.7122,96.0023,308.0791,5.3456,4.3034,3.1227,2.9828,3.9693,0.2919,217.168,2.3535,1.2639,1.3986,4.4346,69.1274,水层
821.125,290.762,8.7415,8.7415,95.5547,311.7443,5.3353,4.319,2.9827,2.9828,4.0649,0.291,218.8844,2.3557,1.2005,1.3308,4.6098,69.2909,水层
821.15625,289.122,8.7749,8.7749,95.3002,318.0613,5.3348,4.3504,2.9027,2.9627,4.209,0.2895,220.197,2.3565,1.1382,1.2184,4.6098,69.4131,水层
821.1875,287.6091,8.8042,8.8042,94.9826,320.0829,5.3344,4.4062,2.7427,2.9426,4.3821,0.2889,222.4184,2.3585,1.1012,1.1573,4.6696,69.5335,水层
821.21875,286.0962,8.8627,8.8627,94.6008,324.8851,5.3437,4.4304,2.7427,2.9025,4.4713,0.2883,223.1756,2.3599,1.0634,1.1012,4.7216,69.5702,水层
