wellname,Depth,GR,SP,CAL,AC,CNL,DEN,LLD,LLS,MSFL,lith
long121,1663.9125,79.375,-9.25,11.3047,248.2128,6.22,2.6409,7.7263,6.9003,33.5025,4
long121,1663.94375,75.7525,-8.7504,10.0866,248.5885,9.44,2.6155,7.4735,7.0396,34.5313,4
long121,1663.975,78.875,-9.25,10.9844,248.9671,10.55,2.5744,5.9805,6.1117,34.5938,4
long121,1664.00625,87.0709,-8.9998,11.8126,249.9787,11.66,2.5401,5.0733,5.2689,33.4375,4
long121,1664.0375,97.5625,-8.75,11.8984,250.2308,12.53,2.5245,3.4828,3.8377,22.6406,4
long121,1664.06875,100.7502,-8.9998,11.6329,251.2431,13.15,2.4912,3.3819,3.7564,16.6094,4
long121,1664.1,100.9375,-8.75,11.7266,252.2561,13.47,2.4511,4.2506,4.7266,12.8318,4
long121,1664.13125,96.9986,-8.9998,11.1711,253.2691,13.43,2.4207,5.0938,5.5884,7.8344,4
long121,1664.1625,95.3125,-8.75,10.2344,254.027,12.87,2.4237,5.0835,5.5476,5.6025,4
long121,1664.19375,94.0006,-8.7498,11.0239,254.9128,12.26,2.4276,4.2272,4.7765,4.3555,4
long121,1664.225,94.8125,-8.5,11.6797,255.7993,11.77,2.4589,4.2172,4.814,4.4258,4
long121,1664.25625,90.3105,-8.4998,12.2961,257.3203,11.36,2.4861,6.4827,6.7777,4.7031,4
long121,1664.2875,87.875,-8.25,11.2891,258.4604,11.4,2.5238,7.2123,7.6704,5.2638,4
long121,1664.31875,87.625,-8.5,9.9297,259.8535,11.44,2.5339,7.1024,7.593,7.7559,12
long121,1664.35,92.9368,-8.4996,10.618,260.36,11.41,2.544,6.1024,6.9352,13.5132,12
long121,1664.38125,92.0625,-8,11.6484,262.2595,11.22,2.5515,4.8568,5.6694,38.5,12
long121,1664.4125,83.9299,-7.7504,11.452,262.6395,10.83,2.559,4.4457,5.0285,25.5312,12
long121,1664.44375,74.4375,-8.25,10.1172,263.779,10.3,2.5701,4.3152,4.8493,18.5312,12
long121,1664.475,75.2526,-8.5002,11.2658,264.9177,9.64,2.5811,4.1425,4.7646,14.2344,12
long121,1664.50625,78.4375,-8.75,11.4688,265.4241,8.61,2.5905,3.9869,4.8215,14.5179,12
long121,1664.5375,80.494,-8.5004,11.9294,266.8172,7.98,2.5999,4.3456,5.378,15.4977,12
long121,1664.56875,73,-9,11.5,267.5773,6.93,2.6113,8.5375,9.75,17.7737,12
long121,1664.6,66.3697,-10.0004,8.9765,268.8431,6.31,2.6227,18.9742,21.8267,21.125,12
long121,1665.225,99.6899,-6.9998,12.1478,268.8823,19.11,2.4157,5.5297,4.8696,43.5625,12
long121,1665.25625,102.75,-6.75,11.4453,263.6633,19.25,2.4286,4.838,4.349,35.7812,12
long121,1665.2875,97.5012,-6.25,11.2816,258.0628,19.38,2.4415,4.3426,3.8294,29.9688,12
long121,1665.31875,98.9375,-6.25,11.7344,254.2427,19.48,2.4433,3.9687,3.4143,25.4314,12
long121,1665.35,100.6257,-6.2496,11.8127,252.2051,19.65,2.4452,3.7818,3.2711,22.8849,12
long121,1665.38125,101.5625,-5.75,12.0703,247.8763,19.89,2.4338,3.637,3.1584,20.5252,12
long121,1665.4125,100.8727,-5.5,11.7813,243.421,20.41,2.4223,3.5332,3.0655,18.0469,12
long121,1665.44375,97.9375,-5.5,11.9297,237.3111,21.09,2.4041,3.6825,3.1477,8.8594,12
