Depth,AC,CAL,CNC,CORR,DEN,GR,HAC,RD,RFOC,RILD,RILM,RMLL,RS,SP,result
1938.4844,66.868,8.832,9.677,0.0195,2.631,80.0965,221.591,23.0195,15.1445,7.6415,7.3345,13.884,17.5775,-37.283,干层
1938.5157,67.0771,8.838,9.596,0.02,2.6224,82.5031,210.5289,22.3535,13.8657,7.3174,6.9888,11.9672,16.9912,-37.1921,干层
1938.547,67.4781,8.8425,9.463,0.02,2.6089,85.6036,202.1631,20.31,12.3827,7.0459,6.6848,10.1062,15.5112,-37.0891,干层
1938.5783,67.8786,8.8475,9.3305,0.02,2.5954,88.7041,198.0959,18.266,10.8997,6.7744,6.3803,8.2452,14.0312,-36.9861,干层
1938.6096,68.4777,8.85,9.2259,0.019,2.5788,92.126,198.7169,16.245,9.6288,6.5364,6.1122,6.8045,12.585,-36.8746,干层
1938.6409,69.3154,8.85,9.156,0.0165,2.5588,95.9127,202.8522,14.2696,8.6291,6.3415,5.8913,5.8927,11.1932,-36.753,干层
1938.6722,70.2039,8.8495,9.0928,0.0135,2.5383,99.7887,209.5186,12.2944,7.6784,6.1548,5.6785,5.0815,9.8058,-36.6291,干层
1938.7035,71.2112,8.8475,9.0942,0.012,2.5167,103.597,217.1553,10.6104,6.8798,5.9867,5.4901,4.4317,8.6177,-36.5015,干层
1938.7348,72.416,8.844,9.1997,0.0125,2.4947,107.3197,224.7564,9.3853,6.3211,5.847,5.3394,4.0386,7.7437,-36.3669,干层
1938.7661,73.703,8.8394,9.3463,0.014,2.4721,111.0237,231.1179,8.3362,5.8548,5.7175,5.2029,3.7449,6.9892,-36.2294,干层
1938.7974,74.9938,8.8344,9.5629,0.0186,2.4502,114.5543,236.2413,7.4005,5.4495,5.5967,5.0767,3.5086,6.3125,-36.0913,干层
1945.8086,77.0449,8.84,14.4149,0.0728,2.5705,96.2859,288.1874,9.9001,10.5554,6.9455,7.5548,13.3274,8.4862,-34.7497,干层
1945.8399,75.8411,8.8391,13.7916,0.0551,2.5834,93.3133,288.2368,10.8034,11.7989,7.0757,7.6994,15.5594,9.1645,-34.8114,干层
1945.8712,74.6194,8.839,13.1602,0.0381,2.5955,90.3156,284.3788,11.732,13.084,7.2071,7.8409,17.8774,9.8601,-34.8717,干层
1945.9025,73.4331,8.839,12.5505,0.0228,2.6084,87.5124,275.4313,12.6904,14.2972,7.3381,7.9696,19.8674,10.5698,-34.9317,干层
1945.9338,72.3683,8.839,12.0206,0.0148,2.6188,85.4616,260.371,13.794,15.2358,7.4688,8.0477,20.5347,11.3534,-34.9858,干层
1945.9651,71.3243,8.8381,11.5036,0.0078,2.6279,83.5196,245.2008,14.9111,16.1338,7.5996,8.1187,21.0237,12.1425,-35.0397,干层
1945.9964,70.2763,8.838,10.9837,8.0E-4,2.6379,81.57,231.3044,16.0325,17.0353,7.7303,8.19,21.5155,12.9355,-35.093,干层
1946.0277,69.5781,8.838,10.6758,-9.0E-4,2.6434,80.9182,220.1093,16.6343,16.5225,7.8656,8.2166,19.7931,13.3185,-35.1407,干层
1946.059,68.9241,8.838,10.3948,-0.001,2.6475,80.4321,214.7094,17.1703,15.8295,8.0016,8.2376,17.789,13.6495,-35.1877,干层
1946.0903,68.2675,8.838,10.1127,-0.0019,2.6516,79.9442,212.4136,17.7084,15.1338,8.1381,8.2596,15.7763,13.9818,-35.2349,干层
1946.1216,67.9083,8.838,9.8193,0.0016,2.6511,80.1297,212.36,17.474,14.0837,8.2777,8.2754,14.3564,13.7909,-35.2774,干层
1946.1529,67.6583,8.838,9.5186,0.0065,2.6492,80.5678,212.5857,16.9496,12.895,8.4182,8.2886,13.1508,13.4034,-35.3178,干层
1946.1842,67.4183,8.838,9.2186,0.0115,2.6472,81.0248,212.7549,16.4045,11.7009,8.5591,8.3016,11.9678,13.0023,-35.3578,干层
